专利名称,专利类型,申请人,申请人类型,申请人地区,申请人城市,公开公告年份,IPC主分类号,摘要文本,主权项内容,被引证次数,year,第一申请人,第一申请人类型,第一申请人地区,第一申请人城市,quantum_score_raw,quantum_score,core_score,matched_terms,matched_core_terms,matched_conditional_terms,matched_supply_terms,matched_application_terms,matched_timefreq_terms,inactive_terms_no_context,negative_terms,main_category,chain_position,category_scores,source_types,relevance,is_quantum_patent,来源文件年份,来源分块
量子纠缠态分配方法、装置、设备、存储介质及产品,发明授权,北京百度网讯科技有限公司,企业,中国,北京市,2021.0,G06N10/00,本公开提供了量子纠缠态分配方法、装置、设备、存储介质及产品，涉及量子计算领域。具体实现方案为：确定至少两个目标量子比特，第一目标量子比特位于第一节点，第二目标量子比特位于第二节点；确定至少一个中间节点，获取中间节点所对应的中间参数化量子电路，并作用到中间节点所对应的中间量子比特上，得到中间测量结果；从第一节点对应的第一参数化量子电路中选取出目标第一参数化量子电路，并作用到第一目标量子比特上；从第二节点对应的第二参数化量子电路中选取出目标第二参数化量子电路，作用到第二目标量子比特上；以得到第一目标量子比特与第二目标量子比特所得到的输出量子态，如此，实现纠缠资源的分配。,"1.一种量子纠缠态分配方法，包括：
确定待进行纠缠资源分配的至少两个目标量子比特，其中，所述至少两个目标量子比特中第一目标量子比特位于第一节点，所述至少两个目标量子比特中第二目标量子比特位于第二节点；
确定与所述第一节点和所述第二节点相关联的至少一个中间节点，其中，所述中间节点包含有至少两个中间量子比特，所有所述中间节点所包含的全部所述中间量子比特中存在第一中间量子比特和第二中间量子比特，所述第一中间量子比特与所述第一目标量子比特之间产生有纠缠资源，所述第二中间量子比特与所述第二目标量子比特之间产生有纠缠资源；
获取所述中间节点所对应的中间参数化量子电路，并作用到所述中间节点所对应的中间量子比特上，对所述中间节点中作用所述中间参数化量子电路后的至少部分中间量子比特进行测量，得到中间测量结果，其中，所述中间测量结果至少表征有作用所述中间节点对应的所述中间参数化量子电路后的所述第一中间量子比特和所述第二中间量子比特的状态信息；
从所述第一节点对应的第一参数化量子电路中选取出与所述中间测量结果相匹配的目标第一参数化量子电路，并至少作用到所述第一节点对应的所述第一目标量子比特上；
以及从所述第二节点对应的第二参数化量子电路中选取出与所述中间测量结果相匹配的目标第二参数化量子电路，并至少作用到所述第二节点对应的所述第二目标量子比特上；
至少获取作用所述目标第一参数化量子电路后的所述第一目标量子比特，与作用所述目标第二参数化量子电路后的所述第二目标量子比特所得到的输出量子态，以基于所述输出量子态实现在所述至少两个目标量子比特之间的量子纠缠态分配。",,2021,北京百度网讯科技有限公司,企业,中国,北京市,19,19,19,量子态；量子比特；量子电路；量子纠缠；量子计算,量子态；量子比特；量子电路；量子纠缠；量子计算,,,,,,,量子计算,量子计算系统,"{'量子计算': 15, '量子基础概念': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,9
基于量子系统的数据处理方法及量子设备,发明授权,北京百度网讯科技有限公司,企业,中国,北京市,2021.0,G06N10/00,本申请公开了基于量子系统的数据处理方法及量子设备，涉及量子计算领域。具体实现：确定量子系统的待处理哈密顿量H，待处理哈密顿量H的特征向量的维度为N；将确定出的参数化量子电路作用到N个初始态中任意T个目标初始态后，得到T个量子态；确定待处理哈密顿量H在量子态下的能量值；获取基于目标损失函数对能量值进行优化处理后所确定出的所述参数化量子电路所对应的目标参数；将基于目标参数确定出的参数化量子电路作用到N个初始态上，得到待处理哈密顿量H的N个特征向量，以将所述N个特征向量作为所述量子系统的N个特征态。如此，有效地得到待处理哈密顿量H的N个特征向量。,"1.一种基于量子系统的数据处理方法，包括：
确定量子系统的待处理哈密顿量H，其中，所述待处理哈密顿量H的特征向量的维度为N；
将确定出的参数化量子电路作用到预先制备的N个初始态中任意T个目标初始态后，得到T个量子态，所述T和N均为正整数；
获取所述待处理哈密顿量H在所述量子态下的能量值；
获取基于目标损失函数对能量值进行优化处理后所确定出的所述参数化量子电路所对应的目标参数，其中，所述目标损失函数是基于所述待处理哈密顿量H在所述T个量子态下的能量值而确定出的；
将基于所述目标参数确定出的所述参数化量子电路作用到所述N个初始态上，得到所述待处理哈密顿量H的N个特征向量，以将所述N个特征向量作为所述量子系统的N个特征态。",,2021,北京百度网讯科技有限公司,企业,中国,北京市,14,14,14,量子态；量子电路；量子计算,量子态；量子电路；量子计算,,,,,,,量子计算,量子计算系统,"{'量子计算': 10, '量子基础概念': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,9
确定近似量子门的方法、装置、经典计算机和存储介质,发明授权,北京百度网讯科技有限公司,企业,中国,北京市,2021.0,G06N10/00,本申请公开了确定近似量子门的方法、装置、经典计算机和存储介质，涉及量子计算领域。具体实现方案为：获取目标量子门；遍历酉矩阵参数，得到至少两个量子门；基于至少两个量子门得到量子门集合；其中，量子门集合包含有N个量子门；N至少与目标量子门的维度相关；计算得到量子门集合的张量积与目标量子门的门距离；其中，张量积是基于量子门集合中各量子门所确定出的；当门距离小于等于预设阈值时，将量子门集合确定为近似集合；其中，近似集合中各量子门为目标量子门的近似量子门。本申请实施例能够准确确定出目标量子门的近似量子门。,"1.一种确定近似量子门的方法，其特征在于，包括：
获取目标量子门；
遍历酉矩阵参数，得到至少两个量子门；其中，量子门基于酉矩阵参数表示，酉矩阵中各元素通过酉矩阵参数表征，遍历所述酉矩阵参数能够得到基于酉矩阵参数表征的量子门；
基于所述至少两个量子门得到量子门集合；其中，所述量子门集合包含有N个所述量子门；所述N与所述目标量子门的维度相关；
计算得到所述量子门集合的张量积与所述目标量子门的门距离；其中，所述张量积是基于所述量子门集合中各量子门所确定出的；
当所述门距离小于等于预设阈值时，将所述量子门集合确定为近似集合；其中，所述近似集合中各量子门为所述目标量子门的近似量子门；
将所述近似集合中各近似量子门分发到N个量子计算机，以便于利用所述N个量子计算机实现量子并行计算；
其中，所述计算得到所述量子门集合的张量积与所述目标量子门的门距离，包括：
基于所述量子门集合的张量积与所述目标量子门得到矩阵特征值；
将所述矩阵特征值间的特征值距离的最大值，作为所述量子门集合的张量积与所述目标量子门的门距离。",,2021,北京百度网讯科技有限公司,企业,中国,北京市,14,14,14,量子并行；量子计算；量子计算机；量子门,量子并行；量子计算；量子计算机；量子门,,,,,,,量子计算,量子软件/算法/模拟,{'量子计算': 14},PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,9
一种结合锁放处理的脉冲式NV色心磁场测量方法,发明授权,北京航空航天大学,学校,中国,北京市,2021.0,G01R33/032,一种结合锁放处理的脉冲式NV色心磁场测量方法，在保证脉冲式测量方法的高对比度的同时，结合锁相放大方法的低频噪声影响小等优点，有效地降低了脉冲式磁场测量的技术噪声，提高了脉冲式磁场测量的信噪比，进而提高了测量灵敏度，且操作简单，易于实现。,"1.一种结合锁放处理的脉冲式NV色心磁场测量方法，其特征在于，包括以下步骤：步骤1，脉冲发生模块根据第一操作指令产生脉冲序列，进行基于NV色心脉冲式磁场测量；步骤2，在测量过程中，信号发生器根据第二操作指令产生调制信号进行调制；步骤3，荧光探测模块对金刚石NV色心产生的荧光信号进行检测；步骤4，对原始测量结果进行锁相放大处理，并输出最终磁场测量结果；
所述脉冲序列，包括激光脉冲、等待脉冲和微波操控脉冲；所述NV色心为金刚石内带一个负电的氮‑空位色心；所述激光脉冲分为极化脉冲和检测脉冲，极化脉冲用于将NV色心的电子自旋态进行极化；等待脉冲紧接着极化脉冲之后，用于等待仍处于激发态和单态的电子完全弛豫到基态；微波操控脉冲紧接着等待脉冲之后，用于对NV色心电子自旋基态进行操控；检测脉冲紧接着微波操控脉冲之后，用于对NV色心电子的布居数进行检测。",,2021,北京航空航天大学,学校,中国,北京市,5,5,5,NV色心；金刚石NV色心,NV色心；金刚石NV色心,,,,,,,量子传感,量子传感器/精密测量,{'量子传感': 5},专家补充词,中相关,1,2021,9
用于实现量子门的控制脉冲的生成方法、装置,发明授权,北京百度网讯科技有限公司,企业,中国,北京市,2021.0,H03K3/02,本申请公开了用于实现量子门的控制脉冲的生成方法、装置、电子设备及计算机可读存储介质，涉及量子科学技术领域、量子计算技术领域、脉冲控制技术领域。具体实现方案为：首先获取期望量子门信息和目标量子系统的系统哈密顿量，之后根据该系统哈密顿量确定初始脉冲参数，根据该初始脉冲参数确定对应的真实量子门信息，之后基于获取到的期望量子门信息和该真实量子门信息对该初始脉冲参数进行优化，得到用于生成控制脉冲的优化脉冲参数，再根据优化脉冲参数来确定对应的控制脉冲实现量子门，以提高实现量子门的效率和质量，并节省运算资源。,"1.一种用于实现量子门的控制脉冲的生成方法，包括：
获取期望量子门信息和目标量子系统的系统哈密顿量；
根据所述系统哈密顿量确定初始脉冲参数；
基于所述系统哈密顿量，确定所述初始脉冲参数对应的真实量子门信息；
基于所述期望量子门信息和所述真实量子门信息对所述初始脉冲参数进行优化，得到优化脉冲参数；
根据所述优化脉冲参数生成对应的控制脉冲。",,2021,北京百度网讯科技有限公司,企业,中国,北京市,10,10,10,量子计算；量子门,量子计算；量子门,,,,,,,量子计算,量子计算系统,{'量子计算': 10},PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,9
量子纠缠态的处理方法、装置、设备、存储介质及产品,发明授权,北京百度网讯科技有限公司,企业,中国,北京市,2021.0,G06N10/00,本公开提供了量子纠缠态处理方法、装置、设备、存储介质及产品，涉及量子计算领域。具体实现方案为：确定n份初始量子态；确定初始量子态所关联的至少两个节点，第一量子比特位于至少两个节点中的第一节点；第二量子比特位于至少两个节点中的第二节点；获取与预设处理场景相匹配的第一节点所需的至少一个第一参数化量子电路，以及第二节点所需的至少一个第二参数化量子电路；基于初始量子操作策略，控制第一节点进行本地量子操作，得到第一测量结果，控制第二节点进行本地量子操作，得到第二测量结果；至少基于第一测量结果和第二测量结果得到满足预设处理场景的预设要求的输出量子态。如此，来实现对量子纠缠态的处理。,"1.一种量子纠缠态处理方法，应用于量子安全通信，包括：
确定待处理的n份初始量子态，其中，每份所述初始量子态至少是第一组量子比特中的至少一个第一量子比特和第二组量子比特中的至少一个第二量子比特所形成的纠缠量子态；
确定所述初始量子态所关联的至少两个节点，其中，所述第一量子比特位于所述至少两个节点中的第一节点；所述第二量子比特位于所述至少两个节点中的第二节点；
获取与预设处理场景相匹配的所述第一节点所需的至少一个第一参数化量子电路，以及所述第二节点所需的至少一个第二参数化量子电路；
基于初始量子操作策略，控制所述第一节点利用所述至少一个第一参数化量子电路对所述第一组量子比特中的至少部分第一量子比特进行本地量子操作，并得到第一测量结果，其中，所述第一测量结果表征所述第一节点在本地量子操作后的至少部分所述第一量子比特的状态信息；
基于所述初始量子操作策略，控制所述第二节点利用所述至少一个第二参数化量子电路对所述第二组量子比特中的至少部分第二量子比特进行本地量子操作，并得到第二测量结果，其中，所述第二测量结果表征所述第二节点在本地量子操作后的至少部分所述第二量子比特的状态信息；
至少基于所述第一测量结果和所述第二测量结果得到满足所述预设处理场景的预设要求的输出量子态，其中，所述输出量子态是执行所述初始量子操作策略后的、所述n份初始量子态中的至少一份初始量子态所关联量子比特形成的纠缠量子态。",2.0,2021,北京百度网讯科技有限公司,企业,中国,北京市,24,24,24,量子安全通信；量子态；量子比特；量子电路；量子纠缠；量子计算,量子安全通信；量子态；量子比特；量子电路；量子纠缠；量子计算,,,,,,,量子通信与安全,量子通信与安全,"{'量子计算': 15, '量子通信与安全': 5, '量子基础概念': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,9
量子电路的处理方法、装置及设备,发明授权,北京百度网讯科技有限公司,企业,中国,北京市,2021.0,G06N10/00,本申请公开了一种量子电路的处理方法、装置及设备，涉及量子计算技术领域。本申请公开的技术方案包括：根据多个物理量子比特之间的物理连通关系，采用目标交换方式在多个物理量子比特之间添加SWAP门，在添加SWAP门时，考虑采用目标交换方式后会在多个物理量子比特之间添加CNOT门的数量，以及采用的目标交换方式后逻辑电路信息中新增被执行的CNOT门的数量。因此，能够避免在转换后的电路中额外引入较多数量的CNOT门，从而，避免量子计算中的量子保真度下降，提高量子计算结果的精度。,"1.一种量子电路的处理方法，其特征在于，包括：
获取逻辑电路信息，以及量子计算设备的拓扑信息，所述逻辑电路信息包括多个逻辑量子比特以及所述多个逻辑量子比特之间的受控非CNOT门变换关系，所述拓扑信息包括：
多个物理量子比特以及所述多个物理量子比特之间的物理连通关系；
根据所述多个物理量子比特之间的物理连通关系，采用目标交换方式在所述多个物理量子比特之间添加交换SWAP门，所述目标交换方式对应的第一数量和第二数量满足第一预设条件，所述目标交换方式为多个候选交换方式中评估值最大的交换方式，所述评估值与所述第二数量正相关，所述评估值与所述第一数量负相关；
其中，所述第一数量为采用所述目标交换方式后会在所述多个物理量子比特之间添加CNOT门的数量，所述第二数量为采用所述目标交换方式后所述逻辑电路信息中新增被执行的CNOT门的数量。",,2021,北京百度网讯科技有限公司,企业,中国,北京市,17,17,15,保真度；物理量子比特；逻辑量子比特；量子比特；量子电路；量子计算,物理量子比特；逻辑量子比特；量子比特；量子电路；量子计算,保真度,,,,,,量子计算,量子计算系统,{'量子计算': 17},PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,9
纠缠量子态分辨方法、装置、设备及存储介质,发明授权,北京百度网讯科技有限公司,企业,中国,北京市,2021.0,G06N10/00,本公开提供了纠缠量子态分辨方法、装置、设备及存储介质，涉及量子计算领域。具体实现方案为：确定待进行纠缠分辨的初始量子态；将与第一参数化量子电路作用到至少一个第一量子比特上，并得到第一测量结果；从第二参数化量子电路中选取出与第一测量结果相匹配的目标第二参数化量子电路，并将目标第二参数化量子电路作用到至少一个第二量子比特上，得到第二测量结果；至少基于所述第二测量结果对所述初始量子态进行纠缠分辨，以识别出所述初始量子态所属的目标态。如此，实现对初始量子态的有效识别。,"1.一种纠缠量子态分辨方法，包括：
确定待进行纠缠分辨的初始量子态，其中，所述初始量子态至少是第一组量子比特和第二组量子比特所对应的量子态，所述第一组量子比特包含有至少一个第一量子比特，所述第二组量子比特包括有至少一个第二量子比特；
将与所述第一组量子比特对应的第一参数化量子电路作用到所述至少一个第一量子比特上，并得到第一测量结果，其中，所述第一测量结果表征作用所述第一参数化量子电路后的所述至少一个第一量子比特的状态信息；
从与所述第二组量子比特对应的第二参数化量子电路中，选取出与所述第一测量结果相匹配的目标第二参数化量子电路，并将所述目标第二参数化量子电路作用到所述第二组量子比特中的所述至少一个第二量子比特上，得到第二测量结果，其中，所述第二测量结果表征作用所述目标第二参数化量子电路后的所述至少一个第二量子比特的状态信息；
至少基于所述第二测量结果对所述初始量子态进行纠缠分辨，以分辨出所述初始量子态所属的目标态。   （来自 马克数据网）",,2021,北京百度网讯科技有限公司,企业,中国,北京市,19,19,19,量子态；量子比特；量子电路；量子计算,量子态；量子比特；量子电路；量子计算,,,,,,,量子计算,量子计算系统,"{'量子计算': 15, '量子基础概念': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,9
基于铯喷泉钟和氢原子钟组的地方原子时生成方法,发明授权,中国人民解放军61081部队,机关团体,中国,北京市,2021.0,G04F5/14,本发明提供了一种基于铯喷泉钟和氢原子钟组的地方原子时生成方法，用以解决现有技术中由于对氢原子钟频率漂移计算误差而导致的地方原子时标长期稳定度及准确度不高的问题。所述地方原子时生成方法采集各台原子钟与主钟的钟差数据和主钟相对于铯喷泉钟的频率差值；再读取钟差数据与频率差值，基于时间尺度算法计算各台原子钟相对于铯喷泉钟的频率差值，计算各台原子钟的非相关频率漂移，并进一步计算基于铯喷泉钟的时间尺度及地方原子时。本发明采用非相关抵偿，计算结果中不存在频率漂移，结合氢原子钟短期稳定度与铯原子喷泉钟长期稳定度的双重优点，使生成的时间尺度同时具备短期稳定度与长期稳定度。,"1.一种基于铯喷泉钟和氢原子钟组的地方原子时生成方法，其特征在于，所述地方原子时生成方法利用铯喷泉钟频率基准进行非相关频率漂移计算，基于铯喷泉钟的时间尺度算法，产生时间尺度及地方原子时；具体包括如下步骤：
步骤S1，将原子钟组的秒信号接入多通道时间间隔计数器，由数据采集与处理工控机采集数据并存入时频数据库，得到各台原子钟与主钟的钟差数据；
步骤S2，将主钟的5MHz信号接入铯喷泉频率基准，得到主钟相对于铯喷泉钟的频率差值，将所述频率差值存入时频数据库；
步骤S3，采用基于铯喷泉钟的时间尺度算法，读取时频数据库中的钟差数据与铯喷泉钟的频率差值，计算各台原子钟相对于铯喷泉钟的频率差值，利用最小二乘法计算各台原子钟的非相关频率漂移；
步骤S4，在时间尺度计算中除去所述非相关频率漂移，得到基于铯喷泉钟的时间尺度及地方原子时。",,2021,中国人民解放军61081部队,机关团体,中国,北京市,3,3,0,原子时标；原子钟；原子钟频率；氢原子钟；频率基准,,,,,原子时标；原子钟；原子钟频率；氢原子钟；频率基准,原子钟,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,9
高保真度超导电路结构及超导量子芯片、超导量子计算机,发明授权,北京百度网讯科技有限公司,企业,中国,北京市,2021.0,G06N10/00,本申请公开了高保真度超导电路结构及超导量子芯片、超导量子计算机，涉及量子计算领域。具体实现方案为：计算量子比特；耦合器件，用于分别与两个所述计算量子比特进行耦合；连接组件，设置于所述计算量子比特与所述耦合器件之间，用于将所述计算量子比特与所述耦合器件进行耦合连接，以基于所述耦合器件以及所述计算量子比特实现目标量子门；其中，所述计算量子比特与所述耦合器件的失谐性强度均为正值。这样，通过选择合理的超导电路参数来消除所述计算量子比特之间的寄生耦合，提升所述目标量子门的保真度。  www.macrodatas.cn,"1.一种超导电路结构，包括：
计算量子比特；
耦合器件，用于分别与两个所述计算量子比特进行耦合；
连接组件，设置于所述计算量子比特与所述耦合器件之间，用于将所述计算量子比特与所述耦合器件进行耦合连接，以基于所述耦合器件以及所述计算量子比特实现目标量子门；
其中，所述计算量子比特与所述耦合器件的失谐性强度均为正值；通过调整所述超导电路结构中的超导电路参数，使所述超导电路结构所对应的计算空间外的量子态对计算空间内的量子态所引发的能级移动相互抵消，以消除所述计算量子比特之间的寄生耦合，提升所述目标量子门的保真度。。微信公众号马克数据网",,2021,北京百度网讯科技有限公司,企业,中国,北京市,26,26,24,保真度；超导量子芯片；量子态；量子比特；量子芯片；量子计算；量子计算机；量子门,超导量子芯片；量子态；量子比特；量子芯片；量子计算；量子计算机；量子门,保真度,,,,,,量子计算硬件,量子计算硬件/量子芯片,"{'量子计算': 17, '量子计算硬件': 5, '量子基础概念': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,9
一种考虑柔性负荷特性的火-储AGC调频控制方法,发明授权,东北电力大学; 国网吉林省电力有限公司吉林供电公司,"企业,学校",中国,吉林市,2021.0,H02J3/24,本发明的一种考虑柔性负荷特性的火‑储AGC调频控制方法，其特点是，对各调频资源的运行进行分区控制，从源荷互动角度出发，设计了电池储能系统的运行约束和柔性负荷的集中控制约束，基于频率偏差分区来精确的对系统实时状况进行合理的调节；电源侧利用电池储能系统的快速调节特性来平滑机组出力，采用线性回归函数来约束其充放电深度；负荷侧利用柔性负荷的灵活调度特性来缓解频率调节压力，采用集中控制来刻画可控出力的约束；根据频率偏差的不同程度来进行分区，在不同的区域采取不同的调控手段来对系统的不同状态进行精确响应。本发明可以提高系统调频性能，优化储能出力情况，减小储能寿命损耗。,"1.一种考虑柔性负荷特性的火‑储AGC调频控制方法，其特征是，它包括以下内容：
1)对电池储能系统动作深度的限制在储能的运行时刻为t时，储能运行控制约束为：
SOC ≤SOC ≤SOC         (1)min t max式中，SOC 为储能荷电状态的最小值，SOC 为储能荷电状态的t时刻值，SOC 为储能荷min t max电状态的最大值，储能系统在吞吐功率时存在能量消耗，进行充放电时需要考虑到其能量转换效率，储能的最大充电功率、放电功率表达式为：
式中，P 为储能额定放电功率，P 为储能额定充电功率，P 为储能系统的额定功dm cm E , rated率，η为储能系统的能量转换效率；
储能在系统中有调频工作状态和SOC恢复状态这两种工况，根据储能不同的工作状态确定其动作深度的限制，采用线性回归函数来设计储能在不同SOC工况下的最大出力限制；
SOC为荷电状态；
储能系统参与系统调频进行充电时动作深度限制为：
式中，P 表示储能调频最大出力充电功率；P 表示储能恢复最大充电需求功率；SOCca cr min为储能荷电状态的最小值，SOC 为储能荷电状态的上限值，SOC 为储能荷电状态的最大high max值，K 为储能系统的爬坡率系数；λ为储能系统的安全系数；
pa在频率调节工况下需要储能系统充电时，储能系统SOC处于高边界值的情况下能够吸收的充电功率将逐渐衰减，最终到达SOC临界值后将无法吸收充电功率，在SOC恢复工况下需要储能系统充电时，以SOC基准值为标准，进行SOC恢复，保证其处于可充电、可放电的状态，因此在SOC达到基准值之后将不进行充电功率的吸收；
储能系统参与系统调频进行放电时动作深度限制为：
式中，P 表示储能调频最大出力放电功率，P 表示储能恢复最大放电需求功率，SOCda dr low为储能荷电状态的下限值；
在SOC恢复工况下需要储能系统放电时，以SOC基准值为标准，进行SOC恢复，保证其处于可充电可放电的状态，因此在SOC达到基准值之后将不进行放电功率的释放；在频率调节工况下需要储能系统放电时，储能系统SOC处于低边界值的情况下能够释放的放电功率将逐渐衰减，最终到达SOC临界值后将无法释放放电功率；
2)对柔性负荷出力的调控考虑柔性负荷的可调出力时，采取将同类型负荷聚合进行集总处理，由于用户的负荷需求存在不确定性，在分散管理时需要对每个负荷进行状态估计，然后再逐一下发调控指令；
统计区域内开关投切式柔性负荷P 有M个, 连续可调式柔性负荷P 有N个，开关投切sfl cfl式柔性负荷和连续可调式柔性负荷的集总模型为(5)式：
柔性负荷的可控出力有限，因此总可控功率P 约束的表达式为：
control式中， P 分别表示柔性负荷可调功率上、下限， P 分别表示开关投切control sfl式柔性负荷总可调出力上、下限， P 分别表示连续可调式柔性负荷总可调出力上、下cfl限， P 分别表示第i个开关投切式柔性负荷可调出力上、下限， P 分别表示sfl , i cfl , i第i个连续可调式柔性负荷可调出力上、下限；
3)对频差信号分区控制的设计将频率偏差信号划分为：频率偏差调节死区、频率偏差正常调节区、频率偏差预警区、频率偏差紧急调节区，为了详细的表述系统不同状态下各调频资源的运行情况，将可调节频率偏差信号分为频率偏差上、下极限值 f ；频率偏差量Δf；频率基准值0；频率偏差min上、下预警限值 f ；频率偏差上、下死区限值 f ，当频率偏差超出可调区alert return域时，采取切机或甩负荷措施以保证系统能稳定运行，(a)频率偏差信号为f ≤Δf＜fmin alert为保证频率在预警区内且不迭入紧急调节区，储能系统在不超过动作深度约束的情况下响应AGC功率指令，此时柔性负荷不参与调节，故柔性负荷的可控出力为0，储能系统进行功率调节的动作深度为：
P ＝min(P , P ‑P )，SOC ≤SOC≤SOC         (7)bess da ace_min g min max式中，P 为储能系统实时出力，P 为火电机组实时出力，P 为储能调频最大出力放电bess g da功率，P 为预警区，负的AGC功率指令；
ace_min(b)频率偏差信号为f ≤Δf＜falert return为保证频率在正常调节区内且不迭入预警区，储能系统在不超过动作深度约束的情况下响应AGC功率指令，储能系统进行功率调节的动作深度为：
式中，P 为正常调节区，负的AGC功率指令；
ace_alert为保证频率在正常调节区内且不迭入预警区的情况下，此时柔性负荷的可控出力为：
式中，P 为柔性负荷实时出力；
load(c)频率偏差信号为f ≤Δf＜0return为保证频率在死区内且不迭入正常调节区，储能系统充电进行SOC恢复，此时调节的动作深度为：
式中，B为系统偏差系数；P 为死区，负的AGC功率指令；P 为储能充电恢复需求ace‑return cr功率；
为保证频率在死区内且不迭入正常调节区的情况下，此时柔性负荷的可控出力为：
(d)频率偏差信号为为保证频率在死区内且不迭入正常调节区，储能系统放电进行SOC恢复，此时调节的动作深度为：
式中，P 为储能恢复最大放电需求功率；P 为死区，正的AGC功率指令；
dr ace‑return为保证频率在死区范围内而没有迭出死区的情况下，此时柔性负荷的可控出力为：
(e)频率偏差信号为为保证频率在正常调节区内且不迭入预警区，储能系统进行功率调节的动作深度为：
式中，P 为储能调频最大出力充电功率；P 为正常调节区，正的AGC功率指令；
ca ace‑alert为了保证频率在正常调节区范围内并且没有迭出正常调节区的情况下，此时柔性负荷的可控出力为：
(f)频率偏差信号为此时柔性负荷不参与调节，故柔性负荷的可控出力为0，为保证频率在预警区内且不迭入紧急调节区，储能系统进行功率调节的动作深度为：
P ＝min(P , P ‑P )，SOC ≤SOC≤SOC          (16)bess ca g ace‑max min max式中，P 为预警区，正的AGC功率指令；
ace‑max综合控制策略采用根据频率偏差来分区控制的方法，在频率偏差调节死区，调用柔性负荷辅助火电机组进行微调，此时储能系统进行SOC恢复状态；在频率偏差正常调节区域，加入储能系统，保证频率的稳定性；在频率偏差预警区，柔性负荷退出运行，储能系统辅助火电机组进行快速调频；在频率偏差紧急调节区，采取切机或甩负荷的形式进行紧急处理，防止频率恶化；
4)设定调频性能分析指标(a)调频性能指标调频性能分析指标主要有通用分析指标和工况特殊指标两种，通用分析指标包括最大频率偏差值Δf 、联络线功率偏差最大值ΔP 、频率偏差均方根值Δf 和频率偏差max tie_max rms平均值Δf 这四个指标；工况特殊指标指的是阶跃扰动下频率恢复时间t 和连续随机波ave f动下频率变化速率平均值V ，ave各项性能分析指标的计算公式定义为：
式中，Δf 为第i时刻系统频率偏差值；Δf 为第i‑1时刻系统频率偏差值；N为采样点i i‑1数；t 为频率恢复稳定的时间；t 为频率开始波动的时间；Δt为采样时间间隔；
d 0(b)储能系统运行分析指标储能系统的运行分析指标主要有两个方面，一个是储能系统参与二次调频的贡献电量G ，另一个是SOC的运行状况，其中，SOC的运行状况分为SOC的均方根值SOC 和SOC的运bess rms行范围SOC ～SOC ，SOC的基准值取为0.5，储能系统的贡献电量越大，储能系统辅助电网min max调频的作用越大，SOC的运行范围、均方根值越小，说明储能系统SOC在基准值附近波动越小，储能系统的使用寿命越久。",,2021,东北电力大学,"企业,学校",中国,吉林市,3,3,0,频率基准,,,,,频率基准,,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,9
