关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接
突变体筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
阳性转化子筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
表型筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
微流控筛选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
液滴微流控,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
单细胞筛选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
单细胞分选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
荧光激活细胞分选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
FACS,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
生物传感器筛选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
代谢物生物传感器,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
微液滴筛选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
实验室自动化,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
自动化移液,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
自动化培养,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
机器人实验平台,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
自动化实验工作站,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
自动化菌株改造,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
无人化生物实验室,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
云实验室,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,
生物制造数据库,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
工业菌种数据库,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
工业酶数据库,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
生物制造数据中心,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
生物实验数据闭环,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
数据-模型-应用飞轮,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
生物制造数据飞轮,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
发酵工程,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
工业发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
微生物发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
精准发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
精密发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
深层发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
固态发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
液态发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
补料分批发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
连续发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
发酵生产,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
发酵罐,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
细胞培养反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
一次性生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
连续流生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
气升式生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
光生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
膜生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
自动化生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,
发酵过程控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
生物过程控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
发酵工艺优化,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
培养基优化,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
补料策略,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
溶氧控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
pH控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
通气搅拌控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
在线发酵监测,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
软测量,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
过程分析技术,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
PAT技术,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
生物工艺放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
发酵放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
规模放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
工业化放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
中试放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
中试发酵,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
中试平台,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
放大培养,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
规模化培养,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
吨级发酵,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
千吨级发酵,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
发酵液分离,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
发酵液纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
分离纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
下游纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
下游分离,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
细胞破碎,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
膜分离,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
膜过滤,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
超滤浓缩,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
离子交换纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
层析纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
结晶纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
萃取纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
脱色除杂,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,
连续生物制造,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
连续生物加工,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
连续培养,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
连续流生物催化,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
生物过程强化,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
集成生物工艺,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
原位产物分离,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
反应分离耦合,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
生物炼制,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,
综合生物炼制,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,
木质纤维素生物炼制,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,
生物质炼制,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,
生物质高值化,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,
生物质梯级利用,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,
生物质全组分利用,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,
非粮生物质,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
非粮碳源,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
秸秆糖,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
木质纤维素,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
纤维素糖,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
半纤维素糖,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
农业废弃物糖化,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
农林废弃物,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
秸秆原料化,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物质碳源平台,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
一碳生物制造,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
C1生物制造,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
一碳生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
二氧化碳生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
二氧化碳生物合成,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
甲醇生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
甲烷生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
合成气生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
工业尾气发酵,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
气体发酵,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
食气微生物,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
食气梭菌,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
电生物合成,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,
电驱生物合成,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,
电化学-生物耦合,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,
电化学生物耦合,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,
电能驱动生物制造,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,
eBio,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,
电合成生物学,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,
人工碳循环,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
生物固碳,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
微生物固碳,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
光合固碳,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
非光合固碳,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
碳固定途径,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
碳捕获生物转化,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
乙酰辅酶A合成途径,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
还原甘氨酸途径,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,
无细胞生物制造,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,
无细胞蛋白质合成,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,
无细胞合成生物学,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,
无细胞表达系统,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,
无细胞生物合成,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,
细胞自由系统,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,
CFPS,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,
分布式生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,
按需生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,
现场生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,
原位生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,
便携式生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,
本地化生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,
去中心化生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,
生物制造网络,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,
活体生物材料,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
工程活体材料,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
活体功能材料,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
活体治疗菌,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
工程益生菌,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
工程微生物递送,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
嵌入式生物技术,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
环境响应生物系统,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
生物传感植物,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
3D生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
三维生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
组织生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
器官生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
细胞打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
生物墨水,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
高密度细胞打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
血管化组织打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
SWIFT生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,
工程组织制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
组织工程制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
人工组织制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
器官尺度制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
可灌注组织,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
血管化组织,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
植入级组织,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
组织构建体,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
类器官制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
诱导多能干细胞,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
iPSC,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
干细胞规模化培养,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,
