第一申请人,第一申请人地区,第一申请人城市,first_year,last_year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,biomanufacturing_score_max,evidence_score_sum,evidence_score_mean,core_score_mean,core_score_max,main_categories,main_sub_categories,industry_segments,matched_terms,first_applicant_types,firm_main_category,firm_main_sub_category,firm_main_industry_segment
广州中医药大学(广州中医药研究院),中国,广州,2024,2025,6,21,3.5,4,21,3.5,3.5,4,DNA/RNA读写编辑；代谢工程与细胞工厂；前沿生物制造；生物过程与规模化,下游分离纯化；代谢工程；基因与基因组编辑；干细胞与细胞规模制造；表达系统,前沿制造；底层工具；技术平台；生产制造,CRISPR；代谢工程；分离纯化；基因敲除；基因编辑；诱导多能干细胞；诱导表达,科研单位,代谢工程与细胞工厂,干细胞与细胞规模制造,技术平台
广州中医药大学(广州中医药研究院),中国,广州市,2021,2023,6,23,3.8333333333333335,4,29,4.833333333333333,3.8333333333333335,4,DNA/RNA读写编辑；代谢工程与细胞工厂；生物过程与规模化；酶与蛋白质工程,下游分离纯化；代谢工程；基因与基因组编辑；生物催化；表达系统,底层工具；技术平台；生产制造,代谢工程；分离纯化；基因编辑；定点突变；核苷酸；生物合成途径；生物转化；诱导表达,科研单位,代谢工程与细胞工厂,代谢工程,技术平台
广州中国科学院先进技术研究所,中国,广州市,2022,2023,3,8,2.6666666666666665,4,8,2.6666666666666665,2.6666666666666665,4,产品与应用；生物过程与规模化；酶与蛋白质工程,定向进化；氨基酸与有机酸发酵产品；生物反应器,应用产品；技术平台；生产制造,定向进化；柠檬酸；生物反应器；膜生物反应器,科研单位,生物过程与规模化,生物反应器,生产制造
广州中国科学院沈阳自动化研究所分所,中国,广州市,2022,2022,1,2,2.0,2,2,2.0,2.0,2,产品与应用,生物能源与燃料,应用产品,生物燃料,科研单位,产品与应用,生物能源与燃料,应用产品
广州中妆美业化妆品有限公司,中国,广州,2024,2025,8,14,1.75,4,20,2.5,1.75,4,产品与应用；生物过程与规模化,发酵工程；可降解聚合物；氨基酸与有机酸发酵产品；重组药物与生物活性原料；高值活性分子,应用产品；生产制造,丙氨酸；丙酮酸；发酵生产；戊二酸；柠檬酸；聚乳酸；肌醇；胶原蛋白；谷氨酸；透明质酸；重组胶原蛋白；麦角硫因,"企业；企业,企业；企业,学校；企业,科研单位",产品与应用,重组药物与生物活性原料,应用产品
广州中康食品有限公司,中国,广州市,2021,2021,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,"企业,科研单位",生物过程与规模化,发酵工程,生产制造
广州中科微晶生物科技有限责任公司,中国,广州市,2022,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
广州中科飞豚生物科技有限责任公司,中国,广州,2025,2025,1,4,4.0,4,6,6.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,基因编辑；核苷酸,企业,DNA/RNA读写编辑,基因与基因组编辑,底层工具
广州丽彦妆生物科技有限公司,中国,广州市,2021,2023,3,6,2.0,4,7,2.3333333333333335,2.0,4,产品与应用；生物过程与规模化,发酵工程；氨基酸与有机酸发酵产品,应用产品；生产制造,微生物发酵；生物发酵；精氨酸；胶原蛋白；赖氨酸；透明质酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州乐信生物科技有限公司,中国,广州市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸；蛋氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州云丽生物科技有限公司,中国,广州,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州五科生物科技有限公司,中国,广州,2024,2024,1,3,3.0,3,4,4.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐；苹果酸,企业,生物过程与规模化,生物反应器,生产制造
广州今盛美精细化工有限公司,中国,广州,2025,2025,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,依克多因；透明质酸,企业,产品与应用,高值活性分子,应用产品
广州仙桥生物科技有限公司,中国,广州,2024,2024,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,熊果苷；精氨酸；肌醇,企业,产品与应用,高值活性分子,应用产品
广州伊尔美生物科技有限公司,中国,广州,2025,2025,1,1,1.0,1,2,2.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,谷氨酸；透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
广州优卡思农业技术有限公司,中国,广州,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,细胞破碎,企业,生物过程与规模化,下游分离纯化,生产制造
广州优理氏生物科技有限公司,中国,广州,2025,2025,2,3,1.5,2,3,1.5,1.5,2,产品与应用,重组药物与生物活性原料；高值活性分子,应用产品,肌醇；胶原蛋白；透明质酸,企业,产品与应用,高值活性分子,应用产品
广州优理氏生物科技有限公司,中国,广州市,2022,2022,2,4,2.0,3,8,4.0,2.0,3,产品与应用；生物过程与规模化,氨基酸与有机酸发酵产品；生物反应器,应用产品；生产制造,发酵罐；柠檬酸；精氨酸；膜过滤；赖氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州优科生物科技有限公司,中国,广州,2024,2025,4,9,2.25,3,11,2.75,2.25,3,产品与应用；生物过程与规模化,下游分离纯化；生物反应器；重组药物与生物活性原料；高值活性分子,应用产品；生产制造,发酵罐；柠檬酸；膜过滤；苹果酸；谷氨酸；辅酶Q10；透明质酸,"企业；企业,科研单位",生物过程与规模化,生物反应器,生产制造
广州优科生物科技有限公司,中国,广州市,2022,2022,2,2,1.0,1,3,1.5,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,柠檬酸；精氨酸；透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
广州优肌源化妆品有限公司,中国,广州市,2023,2023,1,1,1.0,1,2,2.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,精氨酸；赖氨酸；透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
广州伯尼兹生物科技有限公司,中国,广州市,2022,2022,1,4,4.0,4,5,5.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,分泌表达；单克隆抗体,"企业,学校",代谢工程与细胞工厂,表达系统,技术平台
广州伽能生物科技有限公司,中国,广州市,2021,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,企业,生物过程与规模化,下游分离纯化,生产制造
广州低碳生物科技研究院有限公司,中国,广州,2024,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,食品与营养,应用产品,单细胞蛋白,企业,产品与应用,食品与营养,应用产品
广州佰数生物科技有限公司,中国,广州,2024,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,企业,产品与应用,高值活性分子,应用产品
广州佰芮慷生物科技有限公司,中国,广州,2024,2024,1,4,4.0,4,6,6.0,4.0,4,DNA/RNA读写编辑,基因合成,底层工具,基因合成；核苷酸,企业,DNA/RNA读写编辑,基因合成,底层工具
广州佰芮慷生物科技有限公司,中国,广州市,2023,2023,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因合成,底层工具,基因合成,企业,DNA/RNA读写编辑,基因合成,底层工具
广州佳卡纳化妆品开发有限公司,中国,广州市,2021,2021,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产；微生物发酵；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
广州倍健医疗用品有限公司,中国,广州市,2022,2022,1,4,4.0,4,5,5.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵；透明质酸,企业,生物过程与规模化,发酵工程,生产制造
广州傲农生物科技有限公司,中国,广州市,2023,2023,1,2,2.0,2,3,3.0,2.0,2,产品与应用,平台化合物,应用产品,丙酮酸；琥珀酸,企业,产品与应用,平台化合物,应用产品
广州元基细胞生物科技有限公司,中国,广州,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,胶原蛋白；透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
广州先进技术研究所,中国,广州,2024,2024,2,8,4.0,4,20,10.0,4.0,4,酶与蛋白质工程,定向进化,技术平台,定向进化；核糖体结合位点；组成型表达；转运蛋白工程,科研单位,酶与蛋白质工程,定向进化,技术平台
广州凯普秀科技有限公司,中国,广州,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
广州创尔生物技术股份有限公司,中国,广州,2024,2025,2,9,4.5,5,21,10.5,4.5,5,代谢工程与细胞工厂；底盘细胞与菌株工程,底盘细胞；表达系统,技术平台,分泌表达；基因敲除；底盘菌株；核苷酸；毕赤酵母底盘；胶原蛋白,企业,代谢工程与细胞工厂,表达系统,技术平台
广州创尔生物技术股份有限公司,中国,广州市,2022,2022,1,4,4.0,4,5,5.0,4.0,4,前沿生物制造,3D生物打印,前沿制造,生物墨水；胶原蛋白,企业,前沿生物制造,3D生物打印,前沿制造
广州医科大学,中国,广州,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,胶原蛋白,学校,产品与应用,重组药物与生物活性原料,应用产品
广州医科大学,中国,广州市,2023,2023,1,4,4.0,4,4,4.0,4.0,4,生物元件与线路,标准化生物元件,底层工具,元件库；表达元件库,学校,生物元件与线路,标准化生物元件,底层工具
广州医科大学附属妇女儿童医疗中心,中国,广州,2025,2025,2,8,4.0,4,8,4.0,4.0,4,DNA/RNA读写编辑,基因合成,底层工具,DNA合成,机关团体,DNA/RNA读写编辑,基因合成,底层工具
广州医科大学附属第一医院(广州呼吸中心),中国,广州,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,机关团体,产品与应用,重组药物与生物活性原料,应用产品
广州医科大学附属第二医院,中国,广州市,2023,2023,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,基因编辑,机关团体,DNA/RNA读写编辑,基因与基因组编辑,底层工具
广州千物百草生物科技有限公司,中国,广州,2024,2024,3,12,4.0,4,15,5.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵罐；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
广州华厦生物制药有限公司,中国,广州,2024,2024,1,3,3.0,3,6,6.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,肌醇；膜过滤；透明质酸,"企业,学校",生物过程与规模化,下游分离纯化,生产制造
广州华厦生物制药有限公司,中国,广州市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
广州华津医药科技有限公司,中国,广州市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,甲硫氨酸；蛋氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州华浩能源环保集团股份有限公司,中国,广州,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,企业,生物过程与规模化,下游分离纯化,生产制造
广州华淼生物科技研究院有限公司,中国,广州,2025,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
广州华狮化妆品科技有限公司,中国,广州,2024,2024,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,红没药醇；透明质酸,企业,产品与应用,高值活性分子,应用产品
广州华越肾科再生医学科技有限公司,中国,广州市,2023,2023,1,3,3.0,3,3,3.0,3.0,3,前沿生物制造,干细胞与细胞规模制造,前沿制造,诱导多能干细胞,企业,前沿生物制造,干细胞与细胞规模制造,前沿制造
广州协携生物科技有限公司,中国,广州,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,企业,生物过程与规模化,下游分离纯化,生产制造
广州南沙珠江啤酒有限公司,中国,广州,2024,2024,2,6,3.0,3,6,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
广州博垚生物科技有限公司,中国,广州,2024,2024,1,4,4.0,4,8,8.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,分泌表达；基因合成,企业,代谢工程与细胞工厂,表达系统,技术平台
广州博士派生物科技有限公司,中国,广州,2025,2025,1,4,4.0,4,7,7.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,分离纯化；诱导表达,企业,代谢工程与细胞工厂,表达系统,技术平台
广州博科化妆品有限公司,中国,广州,2025,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,分离纯化,企业,生物过程与规模化,下游分离纯化,生产制造
广州卡帝斯科技有限公司,中国,广州,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,赖氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州双慧化妆品有限公司,中国,广州,2024,2024,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,柠檬酸；虾青素,企业,产品与应用,高值活性分子,应用产品
广州古神生物科技有限公司,中国,广州市,2022,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,葡萄糖酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州合诚实业有限公司,中国,广州市,2021,2021,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州同康生物科技有限公司,中国,广州,2024,2024,2,4,2.0,3,5,2.5,2.0,3,产品与应用；生物过程与规模化,氨基酸与有机酸发酵产品；生物反应器,应用产品；生产制造,发酵罐；柠檬酸；苏氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州同隽医药科技有限公司,中国,广州,2024,2024,2,6,3.0,4,8,4.0,3.0,4,产品与应用；代谢工程与细胞工厂,表达系统；高值活性分子,应用产品；技术平台,核苷酸；表达盒；麦角硫因,"企业,学校",代谢工程与细胞工厂,表达系统,技术平台
广州君奕科技有限公司,中国,广州,2024,2024,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；液态发酵；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
广州启点生物科技有限公司,中国,广州,2025,2025,1,2,2.0,2,5,5.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸；胶原蛋白；重组胶原蛋白,企业,产品与应用,高值活性分子,应用产品
广州和佳润颜医药有限公司,中国,广州市,2022,2022,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸；透明质酸,企业,产品与应用,高值活性分子,应用产品
广州品硬生物科技有限公司,中国,广州市,2023,2023,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,红没药醇；胶原蛋白,企业,产品与应用,高值活性分子,应用产品
广州品赫化妆品有限公司,中国,广州,2025,2025,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,"企业,科研单位,企业",生物过程与规模化,发酵工程,生产制造
广州哈维种业有限公司,中国,广州市,2022,2022,2,6,3.0,4,6,3.0,3.0,4,产品与应用；代谢工程与细胞工厂,表达系统；高值活性分子,应用产品；技术平台,核苷酸；表达盒,企业,产品与应用,高值活性分子,应用产品
广州善草纪化妆品有限公司,中国,广州,2025,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙氨酸；精氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州喜乐食品企业有限公司,中国,广州市,2022,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酮酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州喜澳化妆品有限公司,中国,广州,2024,2024,1,4,4.0,4,7,7.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵工程；膜过滤,企业,生物过程与规模化,发酵工程,生产制造
广州喜舍俪健康管理咨询有限公司,中国,广州市,2022,2022,1,3,3.0,3,4,4.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤；透明质酸,企业,生物过程与规模化,下游分离纯化,生产制造
广州国宏新材料有限公司,中国,广州,2024,2024,1,4,4.0,4,7,7.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产；膜过滤；超滤浓缩,企业,生物过程与规模化,发酵工程,生产制造
广州地环生物环保科技有限公司,中国,广州市,2022,2022,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
广州城市职业学院,中国,广州市,2021,2022,2,7,3.5,4,11,5.5,3.5,4,生物过程与规模化,下游分离纯化；发酵工程,生产制造,分离纯化；发酵工程；发酵罐；葡萄糖酸,学校,生物过程与规模化,下游分离纯化,生产制造
广州基迪奥生物科技有限公司,中国,广州市,2022,2022,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因测序,底层工具,高通量测序,企业,DNA/RNA读写编辑,基因测序,底层工具
广州增城潮徽生物技术有限公司,中国,广州市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州夕木生物科技有限公司,中国,广州市,2023,2023,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
广州多多化妆品有限公司,中国,广州,2024,2024,1,4,4.0,4,6,6.0,4.0,4,生物过程与规模化,发酵工程,生产制造,琥珀酸；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
广州大丘有机农产有限公司,中国,广州市,2023,2023,2,8,4.0,4,11,5.5,4.0,4,生物过程与规模化,发酵工程,生产制造,农林废弃物；发酵生产；微生物发酵；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
广州大台农饲料有限公司,中国,广州市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,谷氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州大学,中国,广州,2024,2025,9,25,2.7777777777777777,4,25,2.7777777777777777,2.7777777777777777,4,DNA/RNA读写编辑；产品与应用；生物过程与规模化,基因合成；氨基酸与有机酸发酵产品；生物反应器；生物能源与燃料,应用产品；底层工具；生产制造,DNA合成；柠檬酸；生物反应器；生物燃料；膜生物反应器,学校,生物过程与规模化,生物反应器,生产制造
广州大学,中国,广州市,2021,2023,7,23,3.2857142857142856,4,25,3.5714285714285716,3.2857142857142856,4,DNA/RNA读写编辑；产品与应用；生物过程与规模化,下游分离纯化；基因与基因组编辑；基因测序；生物反应器；生物能源与燃料,应用产品；底层工具；生产制造,CRISPR；DNA测序；分离纯化；发酵罐；基因编辑；核苷酸；生物燃料；碱基编辑,学校,生物过程与规模化,下游分离纯化,生产制造
广州天然国度生物科技有限公司,中国,广州,2024,2025,4,9,2.25,4,11,2.75,2.25,4,产品与应用；生物过程与规模化,发酵工程；重组药物与生物活性原料；高值活性分子,应用产品；生产制造,生物发酵；红没药醇；谷氨酸；赖氨酸；透明质酸；麦角硫因,企业,产品与应用,高值活性分子,应用产品
广州天然国度生物科技有限公司,中国,广州市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州天赐高新材料股份有限公司,中国,广州市,2022,2022,1,1,1.0,1,2,2.0,1.0,1,产品与应用,消费品与个护原料,应用产品,生物表面活性剂；谷氨酸,企业,产品与应用,消费品与个护原料,应用产品
广州太力生物医药科技有限公司,中国,广州市,2021,2021,1,4,4.0,4,4,4.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,分泌表达,企业,代谢工程与细胞工厂,表达系统,技术平台
广州奇龙生物科技有限公司,中国,广州市,2021,2021,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙氨酸；谷氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州她她生物科技有限公司,中国,广州,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
广州妮趣化妆品有限公司,中国,广州市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州姿采化妆品厂,中国,广州市,2021,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
广州娇宇化妆品有限公司,中国,广州,2024,2024,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,柠檬酸；红没药醇,企业,产品与应用,高值活性分子,应用产品
广州安芝缘化妆品有限公司,中国,广州,2025,2025,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,熊果苷；胶原蛋白；辅酶Q10；透明质酸,企业,产品与应用,高值活性分子,应用产品
广州宏众生物科技有限公司,中国,广州,2025,2025,2,5,2.5,4,5,2.5,2.5,4,产品与应用；生物过程与规模化,发酵工程；氨基酸与有机酸发酵产品,应用产品；生产制造,丙酸；固态发酵,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州宏众生物科技有限公司,中国,广州市,2023,2023,1,2,2.0,2,2,2.0,2.0,2,产品与应用,平台化合物,应用产品,"1,3-丙二醇",企业,产品与应用,平台化合物,应用产品
广州宾缇生物科技有限公司,中国,广州,2024,2025,2,5,2.5,4,6,3.0,2.5,4,产品与应用；生物过程与规模化,发酵工程；氨基酸与有机酸发酵产品,应用产品；生产制造,发酵生产；柠檬酸；透明质酸,企业,生物过程与规模化,发酵工程,生产制造
广州富妆生物科技有限公司,中国,广州,2025,2025,1,2,2.0,2,4,4.0,2.0,2,产品与应用,高值活性分子,应用产品,红没药醇；谷氨酸；透明质酸,企业,产品与应用,高值活性分子,应用产品
广州小奇灵制药有限公司,中国,广州,2025,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,分离纯化；膜过滤,企业,生物过程与规模化,下游分离纯化,生产制造
广州尚妆优品生物科技有限公司,中国,广州,2025,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,熊果苷,企业,产品与应用,高值活性分子,应用产品
广州尚楹生物科技有限公司,中国,广州,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
广州岳铧医疗科技有限公司,中国,广州,2024,2024,1,4,4.0,4,7,7.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产；胶原蛋白；重组胶原蛋白,企业,生物过程与规模化,发酵工程,生产制造
广州工业智能研究院,中国,广州市,2023,2023,1,2,2.0,2,2,2.0,2.0,2,产品与应用,生物能源与燃料,应用产品,生物燃料,科研单位,产品与应用,生物能源与燃料,应用产品
广州巴宝莉化妆品有限公司,中国,广州,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸；谷氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州市万千粉丝化妆品有限公司,中国,广州市,2021,2021,4,8,2.0,3,11,2.75,2.0,3,产品与应用；生物过程与规模化,生物反应器；重组药物与生物活性原料,应用产品；生产制造,发酵罐；柠檬酸；精氨酸；胶原蛋白；谷氨酸；透明质酸,企业,生物过程与规模化,生物反应器,生产制造
广州市世来至福科技有限公司,中国,广州市,2021,2021,1,3,3.0,3,6,6.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器；膜分离；膜生物反应器；膜过滤,企业,生物过程与规模化,生物反应器,生产制造
广州市东鹏食品饮料有限公司,中国,广州,2024,2025,2,4,2.0,3,5,2.5,2.0,3,产品与应用；生物过程与规模化,下游分离纯化；氨基酸与有机酸发酵产品,应用产品；生产制造,柠檬酸；膜过滤；葡萄糖酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州市中添生物科技有限公司,中国,广州市,2021,2021,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产,企业,生物过程与规模化,发酵工程,生产制造
广州市中诚新型材料科技有限公司,中国,广州市,2021,2021,1,2,2.0,2,2,2.0,2.0,2,产品与应用,可降解聚合物,应用产品,聚乳酸,企业,产品与应用,可降解聚合物,应用产品
广州市丹树生物科技有限责任公司,中国,广州,2024,2024,1,4,4.0,4,4,4.0,4.0,4,测试筛选与自动化,高通量构建与筛选,底层工具,高通量筛选,企业,测试筛选与自动化,高通量构建与筛选,底层工具
广州市丽泽化妆品有限公司,中国,广州市,2022,2023,3,4,1.3333333333333333,2,5,1.6666666666666667,1.3333333333333333,2,产品与应用,氨基酸与有机酸发酵产品；重组药物与生物活性原料；高值活性分子,应用产品,柠檬酸；精氨酸；肌醇；透明质酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州市乾相生物科技有限公司,中国,广州,2025,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,生物能源与燃料,应用产品,生物丁醇,企业,产品与应用,生物能源与燃料,应用产品
广州市乾相生物科技有限公司,中国,广州市,2023,2023,5,19,3.8,4,28,5.6,3.8,4,DNA/RNA读写编辑；代谢工程与细胞工厂；生物过程与规模化；酶与蛋白质工程,下游分离纯化；代谢工程；基因与基因组编辑；生物催化；表达系统,底层工具；技术平台；生产制造,CRISPR；代谢工程；全细胞催化；分离纯化；基因编辑；核苷酸；熊果苷；生物合成途径；脱色除杂；表达宿主,企业,代谢工程与细胞工厂,下游分离纯化,生产制造
广州市农业科学研究院,中国,广州,2024,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,肌醇,科研单位,产品与应用,高值活性分子,应用产品
广州市千邦化妆品有限公司,中国,广州,2025,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州市千邦化妆品有限公司,中国,广州市,2021,2021,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州市华代生物科技有限公司,中国,广州,2024,2024,1,4,4.0,4,4,4.0,4.0,4,底盘细胞与菌株工程,合成群落与共培养,技术平台,微生物共培养,企业,底盘细胞与菌株工程,合成群落与共培养,技术平台
广州市华侬化妆品股份有限公司,中国,广州,2025,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸；精氨酸；赖氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
广州市华南农大生物药品有限公司,中国,广州,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业,生物过程与规模化,生物反应器,生产制造
