关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,报告技术路线
酶理性设计,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶半理性设计,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶库构建,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
工业酶创制,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
定向进化,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶定向进化,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
蛋白质定向进化,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
错误易感PCR,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
易错PCR,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
DNA改组,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
DNA shuffling,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
饱和突变,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
迭代饱和突变,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
突变体文库,酶与蛋白质工程,定向进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
蛋白质工程,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
蛋白分子设计,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
蛋白序列优化,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
蛋白结构改造,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
蛋白折叠优化,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
重组蛋白工程,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
多肽工程,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
抗体工程,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
融合蛋白设计,酶与蛋白质工程,蛋白质工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/SETR/中科院补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
生物催化,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶催化合成,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶法合成,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
全细胞催化,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
级联酶催化,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
多酶级联,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶促转化,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
生物转化,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
手性生物催化,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
辅酶再生,酶与蛋白质工程,生物催化,生产制造,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
固定化酶,酶与蛋白质工程,酶固定化与反应体系,生产制造,3,process,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶固定化,酶与蛋白质工程,酶固定化与反应体系,生产制造,3,process,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,,酶与蛋白质工程
固定化细胞,酶与蛋白质工程,酶固定化与反应体系,生产制造,3,process,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶膜反应器,酶与蛋白质工程,酶固定化与反应体系,生产制造,3,process,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,,酶与蛋白质工程
连续酶催化,酶与蛋白质工程,酶固定化与反应体系,生产制造,3,process,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,,酶与蛋白质工程
非水相酶催化,酶与蛋白质工程,酶固定化与反应体系,生产制造,3,process,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶反应器,酶与蛋白质工程,酶固定化与反应体系,生产制造,3,process,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶循环使用,酶与蛋白质工程,酶固定化与反应体系,生产制造,3,process,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,,酶与蛋白质工程
高通量筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
超高通量筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
高通量菌株筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
高通量构建,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
自动化高通量筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
菌株自动化筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
酶高通量筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
突变体筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
阳性转化子筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
表型筛选,测试筛选与自动化,高通量构建与筛选,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
微流控筛选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
液滴微流控,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
单细胞筛选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
单细胞分选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
荧光激活细胞分选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
FACS,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
生物传感器筛选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
代谢物生物传感器,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
微液滴筛选,测试筛选与自动化,微流控与单细胞筛选,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
实验室自动化,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
自动化移液,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
自动化培养,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
机器人实验平台,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
自动化实验工作站,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
自动化菌株改造,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
无人化生物实验室,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
云实验室,测试筛选与自动化,实验室自动化,底层工具,4,contextual,需生物工程与生产制造上下文,资本研报/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
生物制造数据库,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
工业菌种数据库,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
工业酶数据库,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
生物制造数据中心,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
生物实验数据闭环,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
数据-模型-应用飞轮,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
生物制造数据飞轮,测试筛选与自动化,生物制造数据,底层工具,4,core,无需上下文,中科院公开方向,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
发酵工程,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
工业发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
生物发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
微生物发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
精准发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
精密发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
深层发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
固态发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
液态发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
补料分批发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
连续发酵,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
发酵生产,生物过程与规模化,发酵工程,生产制造,4,process,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
发酵罐,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
细胞培养反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
一次性生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
连续流生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
气升式生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
光生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
膜生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
自动化生物反应器,生物过程与规模化,生物反应器,生产制造,3,process,需生物工程与生产制造上下文,两份报告/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
发酵过程控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
生物过程控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
发酵工艺优化,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
培养基优化,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
补料策略,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
溶氧控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
pH控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
通气搅拌控制,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
在线发酵监测,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
软测量,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
过程分析技术,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
PAT技术,生物过程与规模化,过程控制与优化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
生物工艺放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
发酵放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
规模放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
工业化放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
中试放大,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
中试发酵,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
中试平台,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
放大培养,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
规模化培养,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
吨级发酵,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
千吨级发酵,生物过程与规模化,工艺放大与中试,生产制造,4,process,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
发酵液分离,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
发酵液纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
分离纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
下游纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
下游分离,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
细胞破碎,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
膜分离,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
膜过滤,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
超滤浓缩,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
离子交换纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
层析纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
结晶纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
萃取纯化,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
脱色除杂,生物过程与规模化,下游分离纯化,生产制造,3,process,需生物工程与生产制造上下文,资本研报补充,用户提供的两份生物制造相关报告,,生物过程与规模化
连续生物制造,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
连续生物加工,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
连续培养,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
连续流生物催化,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
生物过程强化,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
集成生物工艺,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
原位产物分离,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
反应分离耦合,生物过程与规模化,连续制造与过程强化,生产制造,4,process,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,生物过程与规模化
生物炼制,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
综合生物炼制,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
木质纤维素生物炼制,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
生物质炼制,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
生物质高值化,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
生物质梯级利用,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
生物质全组分利用,原料与低碳路线,生物炼制,生产制造,4,core,无需上下文,2024报告/公开资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
非粮生物质,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
非粮碳源,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
秸秆糖,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
木质纤维素,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
纤维素糖,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
半纤维素糖,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
农业废弃物糖化,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
农林废弃物,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
秸秆原料化,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
